ID,Ten,KyNang,SucChua (gio/ngay)
NV01,Nguyễn Văn An,"Analysis",8
NV02,Trần Thị Bình,"Architecture",8
NV03,Lê Minh Cương,"Database",8
NV04,Phạm Thu Dung,"Backend",8
NV05,Hoàng Văn Em,"Backend",8
NV06,Võ Thị Phương,"Frontend",8
NV07,Đặng Minh Giang,"Frontend",8
NV08,Bùi Thanh Hải,"Frontend",8
NV09,Nguyễn Thị Hòa,"Design",8
NV10,Trần Văn Khánh,"DevOps",8
NV11,Lê Thị Lan,"Testing",8
NV12,Phạm Văn Mạnh,"Security",8
NV13,Hoàng Thị Nga,"QA",8
NV14,Đỗ Thị Quỳnh,"Documentation",8
NV15,Lý Thị Tâm,"Testing",8
